Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
S10,6.77E+12,1.62E+13,2.44E+13,3.04E+13,3.54E+13,3.81E+13,3.79E+13,3.52E+13,3.03E+13,2.44E+13,1.62E+13,6.74E+12
S11,6.88E+12,1.64E+13,2.37E+13,2.76E+13,3.50E+13,3.81E+13,3.80E+13,3.49E+13,2.74E+13,2.34E+13,1.61E+13,6.79E+12
S12,6.84E+12,1.62E+13,2.36E+13,2.75E+13,3.50E+13,3.81E+13,3.80E+13,3.48E+13,2.74E+13,2.35E+13,1.62E+13,6.81E+12
S13,6.78E+12,1.62E+13,2.45E+13,3.03E+13,3.53E+13,3.79E+13,3.78E+13,3.51E+13,3.01E+13,2.42E+13,1.60E+13,6.68E+12
S14,6.55E+12,1.58E+13,2.43E+13,3.06E+13,3.50E+13,3.74E+13,3.73E+13,3.49E+13,3.05E+13,2.42E+13,1.57E+13,6.52E+12
S15,6.27E+12,1.51E+13,2.34E+13,2.97E+13,3.41E+13,3.65E+13,3.64E+13,3.39E+13,2.94E+13,2.31E+13,1.49E+13,6.16E+12
S16,5.74E+12,1.38E+13,2.13E+13,2.71E+13,3.22E+13,3.47E+13,3.46E+13,3.20E+13,2.70E+13,2.12E+13,1.38E+13,5.71E+12
S17,5.10E+12,1.23E+13,1.84E+13,2.22E+13,2.91E+13,3.20E+13,3.19E+13,2.89E+13,2.20E+13,1.81E+13,1.21E+13,5.04E+12
S18,4.26E+12,1.03E+13,1.55E+13,1.89E+13,2.55E+13,2.82E+13,2.81E+13,2.53E+13,1.86E+13,1.53E+13,1.02E+13,4.22E+12
S19,3.24E+12,7.97E+12,1.28E+13,1.71E+13,2.13E+13,2.33E+13,2.32E+13,2.11E+13,1.68E+13,1.26E+13,7.84E+12,3.20E+12
S20,1.98E+12,4.96E+12,8.73E+12,1.24E+13,1.52E+13,1.66E+13,1.65E+13,1.51E+13,1.22E+13,8.58E+12,4.91E+12,1.96E+12
T04,2.11E+12,5.24E+12,8.92E+12,1.24E+13,1.52E+13,1.66E+13,1.65E+13,1.50E+13,1.18E+13,8.53E+12,5.05E+12,2.03E+12
T05,3.26E+12,8.01E+12,1.29E+13,1.71E+13,2.11E+13,2.30E+13,2.29E+13,2.08E+13,1.66E+13,1.26E+13,7.84E+12,3.19E+12
T06,4.17E+12,1.02E+13,1.61E+13,2.08E+13,2.53E+13,2.74E+13,2.73E+13,2.50E+13,2.05E+13,1.57E+13,9.92E+12,4.07E+12
T07,4.85E+12,1.18E+13,1.87E+13,2.43E+13,2.86E+13,3.08E+13,3.07E+13,2.84E+13,2.40E+13,1.85E+13,1.17E+13,4.80E+12
T08,5.40E+12,1.32E+13,2.07E+13,2.67E+13,3.10E+13,3.31E+13,3.30E+13,3.08E+13,2.64E+13,2.04E+13,1.29E+13,5.31E+12
T09,5.73E+12,1.39E+13,2.17E+13,2.78E+13,3.23E+13,3.46E+13,3.46E+13,3.21E+13,2.76E+13,2.16E+13,1.38E+13,5.70E+12
T10,5.98E+12,1.44E+13,2.19E+13,2.75E+13,3.28E+13,3.54E+13,3.54E+13,3.26E+13,2.73E+13,2.16E+13,1.41E+13,5.89E+12
T11,6.05E+12,1.44E+13,2.09E+13,2.46E+13,3.25E+13,3.57E+13,3.56E+13,3.24E+13,2.45E+13,2.09E+13,1.44E+13,6.02E+12
T12,6.06E+12,1.45E+13,2.10E+13,2.46E+13,3.25E+13,3.57E+13,3.56E+13,3.23E+13,2.45E+13,2.08E+13,1.43E+13,5.99E+12
T13,5.93E+12,1.42E+13,2.17E+13,2.74E+13,3.26E+13,3.53E+13,3.52E+13,3.25E+13,2.73E+13,2.16E+13,1.42E+13,5.90E+12
T14,5.73E+12,1.39E+13,2.16E+13,2.76E+13,3.21E+13,3.44E+13,3.44E+13,3.20E+13,2.75E+13,2.14E+13,1.37E+13,5.65E+12
T15,5.33E+12,1.29E+13,2.04E+13,2.64E+13,3.07E+13,3.29E+13,3.28E+13,3.06E+13,2.63E+13,2.04E+13,1.29E+13,5.31E+12
T16,4.81E+12,1.17E+13,1.86E+13,2.40E+13,2.83E+13,3.05E+13,3.04E+13,2.82E+13,2.38E+13,1.83E+13,1.16E+13,4.75E+12
T17,4.09E+12,9.96E+12,1.58E+13,2.05E+13,2.50E+13,2.71E+13,2.70E+13,2.48E+13,2.03E+13,1.57E+13,9.93E+12,4.06E+12
T18,3.21E+12,7.90E+12,1.27E+13,1.68E+13,2.08E+13,2.27E+13,2.26E+13,2.06E+13,1.65E+13,1.24E+13,7.77E+12,3.17E+12
T19,2.05E+12,5.10E+12,8.72E+12,1.22E+13,1.50E+13,1.64E+13,1.63E+13,1.48E+13,1.17E+13,8.51E+12,5.07E+12,2.04E+12
U05,1.94E+12,4.85E+12,8.36E+12,1.16E+13,1.40E+13,1.51E+13,1.51E+13,1.38E+13,1.11E+13,8.01E+12,4.67E+12,1.87E+12
U06,2.95E+12,7.29E+12,1.21E+13,1.63E+13,1.95E+13,2.09E+13,2.09E+13,1.93E+13,1.60E+13,1.19E+13,7.16E+12,2.89E+12
U07,3.69E+12,9.10E+12,1.48E+13,1.96E+13,2.30E+13,2.47E+13,2.46E+13,2.28E+13,1.93E+13,1.45E+13,8.89E+12,3.61E+12
U08,4.23E+12,1.04E+13,1.67E+13,2.19E+13,2.56E+13,2.74E+13,2.73E+13,2.54E+13,2.17E+13,1.66E+13,1.03E+13,4.19E+12
U09,4.65E+12,1.13E+13,1.80E+13,2.33E+13,2.72E+13,2.93E+13,2.92E+13,2.71E+13,2.31E+13,1.77E+13,1.11E+13,4.57E+12
U10,4.87E+12,1.18E+13,1.82E+13,2.34E+13,2.80E+13,3.03E+13,3.03E+13,2.79E+13,2.32E+13,1.82E+13,1.17E+13,4.84E+12
U11,5.00E+12,1.20E+13,1.78E+13,2.12E+13,2.80E+13,3.07E+13,3.07E+13,2.79E+13,2.11E+13,1.75E+13,1.18E+13,4.93E+12
U12,4.97E+12,1.19E+13,1.77E+13,2.12E+13,2.79E+13,3.07E+13,3.07E+13,2.79E+13,2.11E+13,1.76E+13,1.19E+13,4.94E+12
U13,4.87E+12,1.18E+13,1.82E+13,2.33E+13,2.79E+13,3.02E+13,3.02E+13,2.78E+13,2.32E+13,1.80E+13,1.16E+13,4.81E+12
U14,4.59E+12,1.12E+13,1.78E+13,2.31E+13,2.71E+13,2.91E+13,2.91E+13,2.70E+13,2.30E+13,1.78E+13,1.12E+13,4.58E+12
U15,4.21E+12,1.03E+13,1.66E+13,2.17E+13,2.54E+13,2.72E+13,2.72E+13,2.53E+13,2.16E+13,1.65E+13,1.02E+13,4.16E+12
U16,3.63E+12,8.94E+12,1.46E+13,1.94E+13,2.28E+13,2.45E+13,2.44E+13,2.27E+13,1.92E+13,1.45E+13,8.92E+12,3.62E+12
U17,2.91E+12,7.21E+12,1.20E+13,1.61E+13,1.92E+13,2.07E+13,2.07E+13,1.91E+13,1.59E+13,1.18E+13,7.11E+12,2.88E+12
U18,1.89E+12,4.72E+12,8.18E+12,1.14E+13,1.39E+13,1.50E+13,1.49E+13,1.37E+13,1.11E+13,8.01E+12,4.70E+12,1.89E+12
V06,1.54E+12,3.87E+12,6.93E+12,9.86E+12,1.17E+13,1.25E+13,1.25E+13,1.16E+13,9.67E+12,6.75E+12,3.77E+12,1.50E+12
V07,2.26E+12,5.61E+12,9.55E+12,1.31E+13,1.55E+13,1.66E+13,1.65E+13,1.54E+13,1.30E+13,9.41E+12,5.52E+12,2.22E+12
V08,2.80E+12,6.94E+12,1.15E+13,1.54E+13,1.79E+13,1.92E+13,1.92E+13,1.78E+13,1.52E+13,1.13E+13,6.78E+12,2.74E+12
V09,3.27E+12,8.05E+12,1.31E+13,1.73E+13,2.03E+13,2.18E+13,2.17E+13,2.02E+13,1.72E+13,1.30E+13,7.97E+12,3.23E+12
V10,3.56E+12,8.69E+12,1.38E+13,1.80E+13,2.14E+13,2.31E+13,2.31E+13,2.13E+13,1.79E+13,1.37E+13,8.54E+12,3.50E+12
V11,3.66E+12,8.86E+12,1.38E+13,1.77E+13,2.16E+13,2.36E+13,2.35E+13,2.16E+13,1.76E+13,1.37E+13,8.83E+12,3.63E+12
V12,3.66E+12,8.89E+12,1.38E+13,1.77E+13,2.16E+13,2.35E+13,2.35E+13,2.16E+13,1.76E+13,1.37E+13,8.78E+12,3.62E+12
V13,3.52E+12,8.59E+12,1.37E+13,1.79E+13,2.13E+13,2.30E+13,2.30E+13,2.12E+13,1.79E+13,1.37E+13,8.59E+12,3.51E+12
V14,3.25E+12,8.01E+12,1.31E+13,1.72E+13,2.01E+13,2.16E+13,2.16E+13,2.01E+13,1.71E+13,1.30E+13,7.93E+12,3.23E+12
V15,2.75E+12,6.81E+12,1.14E+13,1.52E+13,1.78E+13,1.91E+13,1.91E+13,1.77E+13,1.52E+13,1.13E+13,6.82E+12,2.75E+12
V16,2.23E+12,5.55E+12,9.45E+12,1.30E+13,1.53E+13,1.64E+13,1.64E+13,1.53E+13,1.29E+13,9.36E+12,5.50E+12,2.21E+12
V17,1.51E+12,3.80E+12,6.81E+12,9.73E+12,1.16E+13,1.24E+13,1.24E+13,1.15E+13,9.62E+12,6.74E+12,3.78E+12,1.51E+12
W09,1.73E+12,4.31E+12,7.48E+12,1.01E+13,1.17E+13,1.26E+13,1.25E+13,1.16E+13,9.99E+12,7.34E+12,4.20E+12,1.68E+12
W10,2.07E+12,5.12E+12,8.59E+12,1.16E+13,1.36E+13,1.46E+13,1.46E+13,1.35E+13,1.15E+13,8.53E+12,5.08E+12,2.05E+12
W11,2.20E+12,5.39E+12,8.81E+12,1.18E+13,1.39E+13,1.50E+13,1.50E+13,1.39E+13,1.17E+13,8.71E+12,5.31E+12,2.16E+12
W12,2.18E+12,5.35E+12,8.76E+12,1.18E+13,1.39E+13,1.50E+13,1.50E+13,1.39E+13,1.17E+13,8.74E+12,5.34E+12,2.17E+12
W13,2.07E+12,5.11E+12,8.57E+12,1.16E+13,1.35E+13,1.46E+13,1.46E+13,1.35E+13,1.15E+13,8.50E+12,5.06E+12,2.05E+12
W14,1.69E+12,4.23E+12,7.37E+12,1.00E+13,1.16E+13,1.25E+13,1.25E+13,1.16E+13,1.00E+13,7.39E+12,4.25E+12,1.70E+12
