Canal,Trozo_1,Trozo_2,Trozo_3,Trozo_4,Trozo_5,Trozo_6,Trozo_7,Trozo_8,Trozo_9,Trozo_10,Trozo_11,Trozo_12
M09,6.29452E+12,1.48435E+13,2.17886E+13,2.5314E+13,2.63649E+13,2.76493E+13,2.74654E+13,2.591E+13,2.48153E+13,2.1248E+13,1.43998E+13,6.11814E+12
M10,6.22474E+12,1.45351E+13,2.09421E+13,2.42238E+13,2.61671E+13,2.78553E+13,2.77456E+13,2.59266E+13,2.40554E+13,2.09884E+13,1.46386E+13,6.2478E+12
M11,6.31293E+12,1.46847E+13,2.01298E+13,2.16006E+13,2.62176E+13,2.83518E+13,2.82879E+13,2.60572E+13,2.13586E+13,1.97175E+13,1.43139E+13,6.17591E+12
M12,6.21835E+12,1.44013E+13,1.98088E+13,2.14229E+13,2.60976E+13,2.82579E+13,2.82178E+13,2.60112E+13,2.13858E+13,1.99249E+13,1.45303E+13,6.24424E+12
M13,6.26565E+12,1.46637E+13,2.09814E+13,2.40061E+13,2.58323E+13,2.75682E+13,2.75451E+13,2.57586E+13,2.38149E+13,2.06099E+13,1.43129E+13,6.12943E+12
M14,6.11607E+12,1.43723E+13,2.11554E+13,2.46615E+13,2.56978E+13,2.71507E+13,2.71366E+13,2.56596E+13,2.46818E+13,2.13314E+13,1.45556E+13,6.17391E+12
M15,6.11816E+12,1.44873E+13,2.14594E+13,2.49062E+13,2.56097E+13,2.70388E+13,2.70248E+13,2.55557E+13,2.47339E+13,2.11026E+13,1.4148E+13,5.98773E+12
M16,5.8739E+12,1.39329E+13,2.09316E+13,2.48554E+13,2.6122E+13,2.77046E+13,2.76908E+13,2.60903E+13,2.48841E+13,2.11045E+13,1.41103E+13,5.93151E+12
M17,5.72641E+12,1.36867E+13,2.07312E+13,2.53709E+13,2.73447E+13,2.90353E+13,2.90217E+13,2.72944E+13,2.52259E+13,2.04391E+13,1.34101E+13,5.62047E+12
M18,5.30695E+12,1.27587E+13,1.97494E+13,2.49439E+13,2.76562E+13,2.9482E+13,2.94688E+13,2.76247E+13,2.49608E+13,1.98822E+13,1.28966E+13,5.35202E+12
M19,4.85591E+12,1.18228E+13,1.85954E+13,2.37017E+13,2.71971E+13,2.89675E+13,2.89548E+13,2.71569E+13,2.3626E+13,1.84536E+13,1.16945E+13,4.812E+12
M20,4.09493E+12,1.00707E+13,1.63225E+13,2.13346E+13,2.47648E+13,2.63961E+13,2.63849E+13,2.47349E+13,2.13161E+13,1.63556E+13,1.01098E+13,4.10182E+12
M21,3.17019E+12,7.93117E+12,1.33094E+13,1.77564E+13,2.07701E+13,2.21833E+13,2.2174E+13,2.0739E+13,1.76914E+13,1.31927E+13,7.82565E+12,3.1307E+12
M22,1.92904E+12,4.93641E+12,8.93193E+12,1.25005E+13,1.48276E+13,1.58955E+13,1.58885E+13,1.48116E+13,1.24935E+13,8.94486E+12,4.95748E+12,1.93762E+12
